job,marital,education,default,balance,housing,loan,campaign,pdays,previous,y,poutcome
technician,single,secondary,no,-522,yes,yes,2,286,6,yes,failure
management,single,tertiary,no,201,yes,no,1,183,1,no,failure
retired,married,secondary,no,3382,no,yes,2,309,2,no,failure
technician,married,tertiary,no,199,yes,yes,2,253,1,no,failure
admin.,married,secondary,no,147,yes,yes,1,184,7,no,failure
management,married,secondary,no,335,no,no,1,182,1,yes,failure
self-employed,married,secondary,no,641,yes,no,1,148,2,no,failure
services,married,tertiary,no,35,no,no,4,317,3,no,failure
services,single,secondary,no,20,yes,no,6,340,1,no,failure
technician,single,secondary,no,1626,no,no,2,286,3,no,failure
retired,divorced,secondary,no,6850,no,no,3,183,1,no,failure
management,divorced,tertiary,no,100,yes,yes,1,299,3,no,failure
retired,married,unknown,no,519,no,no,1,57,1,yes,failure
blue-collar,married,primary,no,40,yes,no,1,370,1,no,failure
admin.,married,secondary,no,0,yes,yes,2,195,2,no,failure
blue-collar,single,secondary,no,13156,yes,no,4,331,1,no,failure
technician,single,secondary,no,4787,yes,no,1,167,2,no,failure
blue-collar,married,secondary,no,3653,yes,yes,1,168,4,no,failure
retired,single,primary,no,0,no,no,1,368,2,no,failure
blue-collar,married,secondary,no,305,yes,no,7,367,25,no,failure
retired,married,primary,no,493,no,no,1,182,1,no,failure
technician,married,secondary,no,999,yes,no,6,188,2,no,failure
management,single,tertiary,no,2048,yes,no,1,804,1,yes,failure
technician,single,secondary,no,175,yes,no,1,246,1,no,failure
technician,single,secondary,no,4888,yes,no,4,166,2,no,failure
blue-collar,married,secondary,no,5304,yes,no,1,183,2,no,failure
management,married,primary,no,3953,yes,no,2,138,1,no,failure
technician,single,secondary,no,920,yes,no,1,122,4,no,failure
technician,married,secondary,no,4790,yes,no,1,272,2,no,failure
blue-collar,married,primary,no,238,yes,no,2,361,5,no,failure
management,married,tertiary,no,6945,no,no,5,356,3,no,failure
technician,single,secondary,no,309,yes,yes,1,234,3,no,failure
blue-collar,single,secondary,no,1080,yes,yes,3,370,4,yes,failure
blue-collar,married,secondary,no,1205,yes,no,4,153,1,no,failure
self-employed,married,tertiary,no,307,yes,no,1,330,2,no,other
services,married,secondary,no,132,no,no,1,152,1,no,other
blue-collar,married,primary,no,145,no,no,3,5,2,no,other
technician,married,tertiary,no,1539,yes,no,1,56,1,yes,other
blue-collar,divorced,secondary,no,174,yes,no,2,297,1,no,other
admin.,married,secondary,no,179,yes,no,4,436,1,no,other
admin.,single,secondary,no,462,yes,yes,1,335,4,no,other
services,single,secondary,no,21,yes,no,1,271,2,no,other
technician,married,tertiary,no,432,yes,no,2,373,1,no,other
technician,married,secondary,no,359,yes,no,1,242,1,no,other
technician,married,tertiary,no,0,yes,yes,1,62,6,no,other
blue-collar,married,secondary,no,3576,yes,no,1,308,2,no,other
management,married,tertiary,no,0,yes,no,1,250,1,no,other
technician,single,tertiary,no,828,yes,no,3,321,3,no,other
entrepreneur,married,secondary,no,946,yes,no,1,183,1,no,other
management,single,tertiary,no,1240,yes,no,2,260,1,no,other
admin.,single,secondary,no,619,yes,no,5,322,4,no,other
management,married,tertiary,no,902,yes,no,1,367,2,no,other
retired,married,secondary,no,5207,no,no,1,81,2,no,other
technician,married,secondary,no,-228,yes,no,3,332,3,no,other
blue-collar,married,secondary,no,171,no,no,3,175,2,no,other
technician,divorced,secondary,no,666,yes,yes,1,133,1,no,other
entrepreneur,married,primary,no,1034,yes,no,2,170,3,no,other
technician,married,secondary,no,64,yes,no,4,278,2,no,other
technician,single,secondary,no,455,no,no,1,182,8,no,other
management,married,tertiary,no,1010,yes,no,3,364,9,no,other
services,married,secondary,no,0,yes,no,1,124,1,no,other
management,married,tertiary,no,2881,no,no,2,2,5,no,other
technician,single,secondary,no,271,yes,no,2,268,2,no,other
technician,married,secondary,no,-75,yes,no,1,247,1,no,other
services,married,secondary,no,58,yes,no,1,337,2,no,other
self-employed,married,tertiary,no,13669,no,no,1,136,8,no,other
management,married,tertiary,no,1429,yes,no,1,198,2,yes,other
unemployed,married,primary,no,168,yes,no,1,241,1,no,other
services,single,secondary,no,7066,yes,no,3,357,3,yes,other
housemaid,divorced,primary,no,976,no,no,1,94,3,yes,other
management,single,tertiary,no,15030,yes,no,1,174,7,no,other
blue-collar,married,primary,no,99,yes,no,2,322,1,no,other
unemployed,single,secondary,no,3276,no,no,1,110,2,no,other
management,married,tertiary,no,-70,yes,no,1,2,3,no,other
admin.,single,secondary,no,81,yes,no,6,112,3,no,other
blue-collar,married,secondary,no,0,yes,no,5,349,1,no,other
unknown,married,secondary,no,2206,no,no,1,99,2,yes,other
technician,married,tertiary,no,217,yes,no,1,346,2,no,other
management,single,tertiary,no,146,no,no,1,113,5,no,other
technician,married,secondary,no,480,no,no,2,182,8,yes,other
services,single,secondary,no,1482,yes,no,2,174,1,no,other
unemployed,married,secondary,no,977,yes,no,4,91,1,no,other
management,divorced,tertiary,no,2370,yes,yes,1,103,2,no,other
admin.,divorced,secondary,yes,5,yes,yes,3,363,2,no,other
blue-collar,married,primary,no,-98,yes,yes,2,330,3,no,other
blue-collar,married,secondary,no,-217,yes,no,1,349,3,no,other
management,divorced,tertiary,no,5037,no,no,9,185,5,yes,other
technician,married,secondary,no,1233,yes,no,1,100,2,yes,other
admin.,single,secondary,no,1448,no,no,1,184,7,no,other
admin.,married,secondary,no,368,no,no,1,90,4,yes,other
blue-collar,married,secondary,no,121,yes,no,6,176,5,no,other
services,single,secondary,no,361,no,no,1,95,1,no,other
blue-collar,married,primary,no,37,yes,no,2,362,1,no,other
blue-collar,single,secondary,no,0,yes,no,1,345,4,yes,other
student,single,tertiary,no,0,no,no,5,3,6,no,other
entrepreneur,married,secondary,no,157,no,yes,11,366,1,no,other
technician,single,tertiary,no,744,yes,no,1,288,12,no,other
management,married,tertiary,no,93,no,no,2,88,1,no,other
blue-collar,married,primary,no,792,yes,yes,2,175,12,no,other
blue-collar,divorced,secondary,no,203,yes,no,1,127,4,no,other
blue-collar,married,primary,no,49,yes,no,2,365,5,no,other
blue-collar,single,primary,no,464,yes,no,1,299,2,no,other
blue-collar,married,primary,no,2558,yes,no,1,167,1,no,other
self-employed,married,secondary,no,203,yes,no,5,174,12,no,other
blue-collar,married,primary,no,556,yes,no,2,264,4,no,other
blue-collar,married,secondary,no,7,yes,yes,2,193,2,no,other
self-employed,married,secondary,no,123,no,yes,1,85,5,no,other
technician,single,tertiary,no,825,yes,no,1,335,1,no,other
self-employed,single,tertiary,no,44,no,no,2,96,2,no,other
blue-collar,married,secondary,no,2171,yes,no,1,323,1,no,other
admin.,married,secondary,no,4958,yes,no,3,150,5,no,other
blue-collar,married,primary,no,0,yes,no,1,363,3,no,other
management,divorced,tertiary,no,541,yes,no,1,363,2,no,other
admin.,single,secondary,no,45,yes,yes,3,344,7,no,other
retired,married,secondary,no,1503,no,no,3,101,1,no,other
student,single,unknown,no,10788,no,no,2,210,2,no,other
student,single,tertiary,no,0,no,no,2,105,7,yes,other
management,single,tertiary,no,1026,no,no,1,92,1,yes,other
blue-collar,married,unknown,no,310,yes,no,4,258,3,no,other
management,married,tertiary,no,1942,yes,yes,2,178,3,yes,other
housemaid,divorced,primary,no,22,yes,no,3,126,4,no,other
management,single,tertiary,no,592,no,no,2,164,1,no,other
management,married,tertiary,no,9339,yes,no,3,172,3,no,other
student,single,secondary,no,508,yes,no,3,374,1,no,other
management,married,tertiary,no,4089,yes,no,2,174,4,yes,other
technician,married,secondary,no,826,yes,no,3,112,8,no,other
management,single,unknown,no,1534,yes,no,1,147,7,no,other
technician,married,secondary,no,1931,no,no,1,298,10,no,other
technician,married,secondary,no,197,no,yes,2,222,3,no,other
admin.,single,secondary,no,883,yes,no,1,327,9,no,other
management,married,tertiary,no,102,yes,no,7,426,3,yes,other
admin.,divorced,secondary,no,661,yes,no,1,173,2,no,other
technician,married,secondary,no,117,no,no,2,88,4,yes,other
student,single,secondary,no,2488,no,no,2,38,10,yes,other
blue-collar,married,unknown,no,23,no,no,1,2,3,no,other
management,married,tertiary,no,4148,yes,no,3,99,9,yes,other
technician,single,secondary,no,1453,yes,no,1,343,1,no,other
management,married,tertiary,no,1133,yes,no,1,181,2,yes,other
retired,married,secondary,no,935,no,no,1,104,1,no,other
management,married,tertiary,no,1310,no,no,3,158,7,no,other
management,divorced,tertiary,no,9756,yes,no,2,95,1,yes,other
management,married,tertiary,no,287,yes,no,2,274,3,no,other
technician,single,secondary,no,5731,yes,no,2,167,4,no,other
admin.,married,secondary,no,1270,yes,no,2,165,2,no,other
admin.,single,secondary,no,748,no,no,7,130,3,no,other
entrepreneur,divorced,secondary,yes,25,yes,no,1,370,4,no,other
admin.,single,secondary,no,96,yes,no,2,348,3,no,other
management,married,tertiary,no,763,yes,no,7,300,2,yes,other
blue-collar,married,secondary,no,699,yes,yes,2,122,2,yes,other
management,single,tertiary,no,2590,no,no,2,484,2,no,other
housemaid,married,primary,no,848,no,no,1,187,1,no,other
management,married,secondary,no,481,yes,no,1,110,2,no,other
management,married,tertiary,no,894,yes,no,1,326,1,no,other
retired,divorced,primary,no,694,no,no,1,102,1,yes,other
admin.,married,secondary,no,7,yes,no,7,105,1,no,other
management,married,unknown,no,0,yes,no,1,344,1,no,other
blue-collar,married,primary,no,60,no,no,2,367,2,no,other
unemployed,married,tertiary,no,4809,yes,no,2,186,3,no,other
services,single,secondary,no,414,yes,no,5,319,2,no,other
blue-collar,married,secondary,no,856,yes,no,1,150,5,no,other
self-employed,divorced,secondary,no,8515,yes,no,7,112,4,no,other
admin.,single,secondary,no,1927,yes,no,1,137,1,no,other
entrepreneur,married,secondary,no,806,yes,yes,8,297,2,no,other
blue-collar,married,secondary,no,331,yes,no,7,365,5,no,other
management,married,tertiary,no,856,yes,yes,4,7,7,no,other
blue-collar,married,primary,no,2519,yes,no,2,146,9,no,other
admin.,married,primary,no,542,no,no,5,350,3,no,other
blue-collar,married,secondary,no,192,yes,no,5,176,1,no,other
services,single,secondary,no,5045,yes,no,6,175,15,no,other
admin.,single,secondary,no,127,yes,no,6,368,1,no,other
self-employed,single,tertiary,no,442,no,no,3,95,3,yes,other
technician,single,tertiary,no,808,yes,no,1,364,1,no,other
services,married,tertiary,no,4256,yes,no,3,761,1,yes,other
services,divorced,secondary,no,238,yes,no,1,362,5,no,other
blue-collar,married,secondary,no,26,yes,no,3,332,1,no,other
blue-collar,single,secondary,no,142,yes,no,1,360,3,no,other
services,married,secondary,no,4,no,no,1,261,5,yes,other
management,divorced,tertiary,no,502,yes,no,4,270,3,no,other
admin.,married,secondary,no,2552,no,yes,2,2,4,no,other
self-employed,married,primary,no,2077,yes,no,1,173,24,no,other
management,married,secondary,no,139,no,no,1,161,2,no,other
admin.,married,secondary,no,5320,no,no,6,467,5,no,other
admin.,married,secondary,no,199,no,no,2,189,1,no,other
management,married,tertiary,no,7780,no,no,1,355,1,no,other
entrepreneur,married,unknown,no,98,yes,no,3,367,1,no,other
management,divorced,tertiary,no,883,yes,no,1,185,5,yes,other
technician,married,secondary,no,0,yes,yes,1,223,9,no,other
management,divorced,tertiary,no,225,yes,no,1,345,1,no,other
management,married,tertiary,no,112,yes,no,5,85,5,no,other
management,married,tertiary,no,78,yes,no,3,161,9,no,other
management,married,tertiary,no,1384,yes,no,2,2,3,no,other
technician,single,secondary,no,842,no,no,1,91,1,no,other
management,divorced,tertiary,no,356,no,no,2,358,5,no,other
technician,married,secondary,no,114,yes,yes,1,309,3,no,other
admin.,single,secondary,no,1070,yes,no,1,357,1,yes,other
services,single,secondary,no,1347,no,no,6,92,5,yes,other
management,married,tertiary,no,5108,yes,no,1,102,8,no,other
management,married,tertiary,no,489,yes,no,1,172,2,no,other
self-employed,married,tertiary,no,263,no,no,1,78,8,no,other
admin.,single,secondary,no,-247,yes,yes,1,166,1,yes,other
blue-collar,single,secondary,no,3975,yes,yes,1,150,1,no,other
management,single,tertiary,no,334,yes,no,6,90,2,no,other
technician,single,tertiary,no,2325,no,no,3,241,4,no,other
services,divorced,secondary,no,765,yes,no,3,174,7,yes,other
admin.,single,secondary,no,802,no,no,1,2,2,no,other
management,single,tertiary,no,4402,no,no,1,190,1,yes,other
housemaid,married,unknown,no,0,no,no,5,145,3,no,other
retired,divorced,secondary,no,1679,no,no,1,365,9,yes,other
management,married,tertiary,no,-242,yes,yes,4,332,4,yes,other
services,single,secondary,no,1757,yes,no,3,326,1,no,other
management,married,tertiary,yes,-13,yes,no,6,291,2,no,other
admin.,divorced,secondary,no,360,no,no,1,297,2,no,other
management,single,tertiary,no,1673,no,no,2,159,3,no,other
admin.,married,secondary,no,12,yes,no,3,256,3,no,other
blue-collar,married,secondary,yes,-53,yes,no,1,272,1,yes,other
technician,single,secondary,no,647,yes,yes,1,273,1,no,other
blue-collar,married,primary,no,2142,yes,no,2,224,1,no,other
management,single,tertiary,no,473,yes,no,2,361,1,no,other
student,single,secondary,no,6844,no,no,3,127,7,no,other
student,single,tertiary,no,-148,yes,no,3,224,1,no,other
technician,married,secondary,no,2308,no,no,1,87,1,yes,other
student,single,secondary,no,8366,no,no,2,349,1,no,other
blue-collar,married,secondary,no,2548,yes,no,1,368,1,no,other
technician,married,secondary,no,697,no,no,2,219,2,no,other
services,divorced,secondary,no,1012,yes,no,3,175,2,no,other
blue-collar,married,unknown,no,439,yes,no,1,249,2,no,other
blue-collar,single,primary,no,2146,yes,no,2,353,2,yes,other
management,single,tertiary,no,623,no,no,4,144,4,yes,other
unemployed,single,secondary,no,315,no,no,1,2,1,no,other
blue-collar,married,secondary,no,1137,no,no,4,211,3,no,other
entrepreneur,single,tertiary,no,1136,yes,yes,2,249,7,no,other
admin.,married,unknown,no,4629,yes,no,1,92,1,yes,success
management,married,tertiary,no,0,no,no,2,182,3,yes,success
blue-collar,divorced,secondary,no,2843,no,no,1,182,1,no,success
student,single,secondary,no,2488,no,no,6,169,3,yes,success
admin.,married,secondary,no,602,no,no,3,90,2,yes,success
admin.,married,tertiary,no,899,yes,no,3,7,4,no,success
retired,married,secondary,no,3771,no,no,1,181,2,yes,success
technician,single,tertiary,no,992,yes,no,1,88,2,no,success
blue-collar,single,secondary,no,0,yes,no,2,91,5,no,success
admin.,married,tertiary,no,69,no,yes,3,1,6,yes,success
management,married,tertiary,no,1199,no,no,1,1,1,yes,success
unemployed,married,secondary,no,978,no,no,3,209,3,yes,success
retired,married,primary,no,1084,no,no,1,183,1,no,success
management,married,primary,no,2587,no,no,2,94,2,yes,success
technician,single,tertiary,no,6101,no,no,5,87,1,no,success
blue-collar,married,secondary,no,889,yes,no,1,99,5,yes,success
retired,married,tertiary,no,7802,no,no,1,92,2,yes,success
admin.,married,secondary,no,1796,no,no,1,91,2,yes,success
admin.,single,secondary,no,3696,no,no,2,181,4,yes,success
admin.,married,secondary,no,1314,yes,no,2,85,7,no,success
blue-collar,married,primary,no,12519,yes,no,2,147,4,no,success
technician,married,tertiary,no,7050,no,no,3,182,4,yes,success
retired,married,primary,no,43,no,no,1,91,1,no,success
technician,married,secondary,no,57,no,no,1,342,1,no,success
services,single,secondary,no,168,no,no,3,140,2,yes,success
management,divorced,tertiary,no,624,no,no,2,183,2,yes,success
admin.,single,secondary,no,255,no,no,1,80,1,yes,success
management,married,tertiary,no,0,yes,no,1,99,2,yes,success
self-employed,married,tertiary,no,2013,no,no,4,94,2,yes,success
services,married,secondary,no,1337,no,no,2,127,3,yes,success
entrepreneur,married,secondary,no,3904,no,no,2,187,2,yes,success
management,married,tertiary,no,1147,no,no,1,64,2,yes,success
housemaid,married,primary,no,768,no,no,2,182,1,no,success
technician,married,unknown,no,189,no,no,1,107,2,yes,success
technician,single,tertiary,no,5514,no,no,1,182,1,yes,success
blue-collar,married,secondary,no,889,yes,no,1,373,6,no,success
technician,single,secondary,no,2729,yes,no,1,139,1,no,success
services,married,secondary,no,1076,no,no,1,182,6,yes,success
technician,married,tertiary,no,383,no,no,2,183,3,no,success
management,single,tertiary,no,15459,no,no,3,97,7,no,success
management,married,unknown,no,1519,no,no,1,92,1,yes,success
admin.,married,secondary,no,710,yes,yes,1,334,2,yes,success
self-employed,married,secondary,no,706,no,no,2,176,1,no,success
admin.,married,secondary,no,-97,yes,no,1,225,2,no,success
management,married,tertiary,no,495,no,no,3,97,2,yes,success
retired,married,tertiary,no,0,no,no,1,60,1,yes,success
retired,married,primary,no,1388,no,no,3,190,3,no,success
technician,married,secondary,no,259,no,no,1,89,1,yes,success
technician,single,secondary,no,113,no,no,2,183,4,yes,success
services,married,unknown,no,386,no,yes,1,152,1,no,success
technician,married,unknown,no,14533,no,no,3,198,2,no,success
blue-collar,married,primary,no,306,no,no,3,181,1,yes,success
admin.,married,secondary,no,132,no,no,1,84,3,yes,success
admin.,single,secondary,no,100,yes,no,1,461,1,yes,success
management,single,tertiary,no,1445,no,no,2,143,2,yes,success
technician,married,secondary,no,0,yes,no,1,96,5,yes,success
technician,single,tertiary,no,13711,yes,no,1,175,3,no,success
blue-collar,married,secondary,no,1230,yes,no,1,169,1,yes,success
management,married,tertiary,no,273,yes,no,2,184,4,yes,success
admin.,divorced,secondary,no,6046,yes,yes,6,182,2,yes,success
admin.,married,unknown,no,2038,no,no,1,305,1,no,success
technician,married,primary,no,4198,no,no,1,91,10,yes,success
technician,married,secondary,no,568,yes,no,2,386,1,yes,success
retired,married,secondary,no,8304,no,no,1,118,11,no,success
services,married,secondary,no,1970,yes,no,1,404,2,no,success
unemployed,married,secondary,no,817,no,no,1,282,4,yes,success
blue-collar,single,secondary,no,-46,yes,no,1,92,14,yes,success
admin.,single,secondary,no,1693,yes,no,1,97,1,no,success
management,married,tertiary,no,238,no,no,1,92,1,yes,success
admin.,married,secondary,no,0,no,no,2,238,3,no,success
services,single,secondary,no,3403,yes,no,2,97,2,yes,success
technician,single,secondary,no,6402,yes,no,1,167,1,no,success
management,married,tertiary,no,925,no,no,3,189,4,yes,success
technician,divorced,secondary,no,14,no,no,1,92,1,yes,success
technician,married,tertiary,no,2557,no,no,5,204,2,yes,success
student,single,tertiary,no,3733,yes,no,1,98,6,yes,success
management,single,tertiary,no,437,no,no,1,92,1,yes,success
blue-collar,married,primary,no,403,yes,no,2,338,1,no,success
unknown,married,unknown,no,677,no,no,1,99,4,no,success
technician,married,secondary,no,6728,no,no,1,96,4,yes,success
technician,single,tertiary,no,1646,yes,no,1,184,6,yes,success
technician,married,tertiary,no,2408,no,no,1,104,1,no,success
housemaid,married,secondary,no,3940,yes,no,2,96,5,no,success
admin.,married,secondary,no,3735,no,no,1,188,9,yes,success
management,married,tertiary,no,0,no,no,1,96,8,yes,success
technician,single,secondary,no,2544,no,no,1,184,3,yes,success
admin.,single,secondary,no,4745,no,no,1,181,5,yes,success
retired,married,primary,no,8556,no,no,2,272,2,yes,success
management,single,tertiary,no,390,no,no,1,82,1,no,success
technician,married,tertiary,no,876,no,no,3,541,3,yes,success
management,married,tertiary,no,495,no,no,3,182,6,yes,success
blue-collar,married,secondary,no,262,no,no,2,109,4,no,success
technician,single,secondary,no,1279,yes,no,2,349,3,no,success
management,married,unknown,no,2240,yes,no,2,385,1,yes,success
student,single,tertiary,no,64,no,no,1,105,2,no,success
unknown,single,tertiary,no,0,no,no,3,95,3,yes,success
services,divorced,secondary,no,462,no,no,1,93,1,yes,success
technician,married,secondary,no,0,no,no,2,106,6,no,success
blue-collar,married,secondary,no,2160,no,no,1,98,1,yes,success
management,married,unknown,no,3576,no,no,2,183,1,yes,success
blue-collar,single,primary,no,1628,yes,no,1,195,8,no,success
admin.,single,secondary,no,2223,no,no,2,114,1,no,success
admin.,single,tertiary,no,305,no,no,1,85,2,yes,success
management,married,tertiary,no,1331,no,no,1,86,3,yes,success
management,divorced,tertiary,no,434,yes,no,1,271,2,no,success
technician,married,secondary,no,116,no,no,2,94,2,no,success
blue-collar,married,secondary,no,1664,yes,no,1,182,1,no,success
housemaid,single,tertiary,no,19,no,no,2,64,2,yes,success
unknown,married,primary,no,341,yes,yes,4,340,2,yes,success
student,single,tertiary,no,294,no,no,1,91,2,yes,success
services,divorced,primary,no,459,yes,no,1,293,1,yes,success
blue-collar,married,primary,no,1177,no,no,1,311,4,yes,success
admin.,married,secondary,no,3676,no,no,1,95,3,yes,success
retired,married,tertiary,no,1948,no,no,1,91,4,yes,success
housemaid,divorced,secondary,no,70,no,no,3,148,1,yes,success
retired,single,tertiary,no,2144,no,no,1,184,4,yes,success
unemployed,married,secondary,no,94,no,no,1,181,14,yes,success
retired,married,secondary,no,1044,no,no,1,192,2,yes,success
technician,married,tertiary,no,0,no,no,3,94,4,no,success
unemployed,married,secondary,no,1978,no,no,1,182,1,yes,success
admin.,married,secondary,no,459,no,no,6,192,1,no,success
retired,married,unknown,no,426,no,no,1,90,1,yes,success
self-employed,divorced,tertiary,no,6,yes,no,1,183,4,yes,success
technician,single,secondary,no,-242,yes,no,3,278,6,yes,success
services,single,secondary,no,1547,yes,no,2,173,1,no,success
retired,divorced,primary,no,0,no,no,1,77,3,no,success
management,married,tertiary,no,-17,yes,yes,1,256,1,yes,success
management,single,tertiary,no,572,no,no,1,195,1,yes,success
admin.,single,secondary,no,223,yes,no,1,315,11,no,success
